FID1,IID1,FID2,IID2,RT,EZ,Z0,Z1,Z2,PI_HAT,PHE,DST,PPC,RATIO
4806105-1-0238096200,4806105-1-0238096200,151882-01,151882-01,UN,NA,0,0.2637,0.7363,0.8681,-1,0.955238,1,NA
5828580-1-0238038986,5828580-1-0238038986,137127-01,137127-01,UN,NA,0.1269,0.2151,0.658,0.7656,-1,0.928963,1,15.6667
9309500-1-0224008236,9309500-1-0224008236,147644-01,147644-01,UN,NA,0,0.3385,0.6615,0.8308,-1,0.942553,1,NA
MC.154475@1076254533,MC.154475@1076254533,106846-01,106846-01,UN,NA,0,0.2328,0.7672,0.8836,-1,0.960486,1,NA
MC.154500@1075680613,MC.154500@1075680613,104573-02,104573-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.154507@1075691109,MC.154507@1075691109,139655-02,139655-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.154781@1075680475,MC.154781@1075680475,108942-02,108942-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.154784@1075679040,MC.154784@1075679040,118285-02,118285-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.154843@1075678931,MC.154843@1075678931,130898-02,130898-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.154951@1075678642,MC.154951@1075678642,122142-02,122142-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.154988@1075642141,MC.154988@1075642141,108744-02,108744-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.155040@1075678567,MC.155040@1075678567,126066-02,126066-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.155185@1076254967,MC.155185@1076254967,135274-02,135274-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.155211@1075678082,MC.155211@1075678082,124576-02,124576-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.155231@0123948281,MC.155231@0123948281,141210-02,141210-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.155324@1075679042,MC.155324@1075679042,132983-02,132983-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.155409@1075641415,MC.155409@1075641415,110295-02,110295-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.155450@1075680480,MC.155450@1075680480,110268-02,110268-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.155571@1075679012,MC.155571@1075679012,141543-02,141543-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.155588@1075642018,MC.155588@1075642018,107008-02,107008-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.155907@1075641874,MC.155907@1075641874,114256-01,114256-01,UN,NA,0,0.2238,0.7762,0.8881,-1,0.962006,1,NA
MC.155978@1076253964,MC.155978@1076253964,151816-01,151816-01,UN,NA,0,0.0877,0.9123,0.9561,-1,0.985106,1,NA
MC.156049@1076254292,MC.156049@1076254292,127015-02,127015-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.156238@1075680101,MC.156238@1075680101,119951-02,119951-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.156320@1075680533,MC.156320@1075680533,123048-02,123048-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.156352@1076254178,MC.156352@1076254178,133550-02,133550-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.156496@1075677188,MC.156496@1075677188,123957-02,123957-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.156567@1075642024,MC.156567@1075642024,107186-02,107186-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.156604@1075680474,MC.156604@1075680474,109062-02,109062-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.156620@1075642223,MC.156620@1075642223,104567-02,104567-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.156652@1075680467,MC.156652@1075680467,109986-02,109986-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.157207@1075690414,MC.157207@1075690414,131216-01,131216-01,UN,NA,0,0.4495,0.5505,0.7753,-1,0.923708,1,NA
MC.157208@1075678336,MC.157208@1075678336,142854-01,142854-01,UN,NA,0,0.3068,0.6932,0.8466,-1,0.947929,1,NA
MC.157331@1075690470,MC.157331@1075690470,117361-01,117361-01,UN,NA,0.0814,0.2028,0.7158,0.8172,-1,0.943431,1,NA
MC.159645@1075680776,MC.159645@1075680776,107681-01,107681-01,UN,NA,0.0724,0.3268,0.6008,0.7642,-1,0.924833,1,NA
MC.160648@1075678304,MC.160648@1075678304,138809-01,138809-01,UN,NA,0,0.4352,0.5648,0.7824,-1,0.92614,1,NA
MC.161385@1075641946,MC.161385@1075641946,110913-01,110913-01,UN,NA,0,0.1075,0.8925,0.9462,-1,0.981752,1,NA
MC.AMD100034@0124013752,MC.AMD100034@0124013752,141138-01,141138-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100092@0123911334,MC.AMD100092@0123911334,123090-01,123090-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100106@0123889470,MC.AMD100106@0123889470,113559-02,113559-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100138@0123890700,MC.AMD100138@0123890700,107057-01,107057-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100145@0123890364,MC.AMD100145@0123890364,150236-01,150236-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100198@0124008440,MC.AMD100198@0124008440,113304-01,113304-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100221@0124011082,MC.AMD100221@0124011082,138226-01,138226-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100248@0124011293,MC.AMD100248@0124011293,108320-01,108320-01,UN,NA,0.009,0.1359,0.855,0.923,-1,0.974468,1,NA
MC.AMD100287@0123890607,MC.AMD100287@0123890607,117280-01,117280-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100301@0123909159,MC.AMD100301@0123909159,102784-01,102784-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100303@0124011305,MC.AMD100303@0124011305,108897-01,108897-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100357@0123911198,MC.AMD100357@0123911198,116665-01,116665-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100404@0123910477,MC.AMD100404@0123910477,134018-01,134018-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100449@0123890402,MC.AMD100449@0123890402,109029-01,109029-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100458@0123889393,MC.AMD100458@0123889393,120047-01,120047-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100464@0123909089,MC.AMD100464@0123909089,111978-01,111978-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100473@0123910557,MC.AMD100473@0123910557,132170-01,132170-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100479@0123861636,MC.AMD100479@0123861636,119831-01,119831-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100526@0123889360,MC.AMD100526@0123889360,133748-02,133748-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100577@0123909098,MC.AMD100577@0123909098,109206-01,109206-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100644@0124011068,MC.AMD100644@0124011068,103411-01,103411-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100685@0123861691,MC.AMD100685@0123861691,118702-02,118702-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100687@0123911177,MC.AMD100687@0123911177,117154-02,117154-02,UN,NA,0,0.0018,0.9982,0.9991,-1,0.999692,1,NA
MC.AMD100712@0123889365,MC.AMD100712@0123889365,131633-02,131633-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100761@0124009831,MC.AMD100761@0124009831,113301-01,113301-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100765@0123890353,MC.AMD100765@0123890353,151675-01,151675-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100810@0124011485,MC.AMD100810@0124011485,110952-01,110952-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100817@0123908966,MC.AMD100817@0123908966,141177-01,141177-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101005@0123910544,MC.AMD101005@0123910544,132509-01,132509-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101017@0123908979,MC.AMD101017@0123908979,134949-01,134949-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101021@0123861142,MC.AMD101021@0123861142,117964-01,117964-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101056@0123861521,MC.AMD101056@0123861521,128675-02,128675-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101088@0123861314,MC.AMD101088@0123861314,121920-01,121920-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101104@0123861671,MC.AMD101104@0123861671,119110-01,119110-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101106@0124013755,MC.AMD101106@0124013755,128512-01,128512-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101108@0123909277,MC.AMD101108@0123909277,145329-01,145329-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101112@0124013689,MC.AMD101112@0124013689,127500-01,127500-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101224@0123890370,MC.AMD101224@0123890370,123504-01,123504-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101250@0123910517,MC.AMD101250@0123910517,132968-01,132968-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101361@0123890453,MC.AMD101361@0123890453,108320-01,108320-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101486@0123861801,MC.AMD101486@0123861801,124579-02,124579-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101497@0123861054,MC.AMD101497@0123861054,122202-01,122202-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101607@0123909231,MC.AMD101607@0123909231,146423-01,146423-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101653@0124013684,MC.AMD101653@0124013684,137424-01,137424-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101685@0123861775,MC.AMD101685@0123861775,132923-01,132923-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101710@0124011122,MC.AMD101710@0124011122,137070-01,137070-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101728@0123890765,MC.AMD101728@0123890765,129683-02,129683-02,UN,NA,0,0.1201,0.8799,0.94,-1,0.979623,1,NA
MC.AMD101744@0123890420,MC.AMD101744@0123890420,108864-02,108864-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101861@0123861248,MC.AMD101861@0123861248,131216-01,131216-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101908@0123889480,MC.AMD101908@0123889480,113238-01,113238-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101970@0123861117,MC.AMD101970@0123861117,119275-01,119275-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101989@0124011449,MC.AMD101989@0124011449,105274-02,105274-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101995@0123908901,MC.AMD101995@0123908901,147365-01,147365-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102015@0123909334,MC.AMD102015@0123909334,143589-01,143589-01,UN,NA,0,0,1,1,-1,1,1,NA
