Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cd4 cells	11/301	0.019171871185153386	0.5751561355546015	0	0	2.058864816807824	8.14139203270517	NLRP14;CREBZF;PIWIL4;LRRN3;ANKRD45;PDE6A;ZNF354A;ELL2;ITM2B;LRRC1;LRRC42
fetal ovary	9/301	0.08931458726534867	1.0	0	0	1.6845257592064014	4.06912434211577	NLRP14;ZNF383;CCDC89;RTN4RL1;CKS2;KLRG2;ASB3;ZBED4;TCP10
adult colon	8/301	0.16826538148466488	1.0	0	0	1.4973562304056902	2.6686075810724224	FBXW4;TMEM59;OAF;RNF138;CEP70;NDUFA4L2;CARTPT;ZBED4
adult gallbladder	8/301	0.16826538148466488	1.0	0	0	1.4973562304056902	2.6686075810724224	NLRP14;EHF;SLCO2B1;CEP70;CAMTA2;FBXL2;DCBLD1;SPSB4
adult pancreas	8/301	0.16826538148466488	1.0	0	0	1.4973562304056902	2.6686075810724224	BTNL9;FADS2;ERBB3;SH2D3A;METTL6;CPEB3;CHST4;SPSB4
adult adrenal	6/301	0.44491302013954903	1.0	0	0	1.1230171728042675	0.9095051907141378	CRB2;FBXW12;GRM8;NDUFA4L2;ZNF514;EXPH5
adult heart	6/301	0.44491302013954903	1.0	0	0	1.1230171728042675	0.9095051907141378	TMEM127;ZNF804B;PDE6A;ACVR1B;CORIN;IFNAR1
adult liver	6/301	0.44491302013954903	1.0	0	0	1.1230171728042675	0.9095051907141378	SLC44A5;AHI1;BEST4;CCDC89;LRRN3;LRRC42
adult lung	6/301	0.44491302013954903	1.0	0	0	1.1230171728042675	0.9095051907141378	BTNL9;NDUFA4L2;ALG12;HTR3B;GPR137B;DCBLD1
adult rectum	6/301	0.44491302013954903	1.0	0	0	1.1230171728042675	0.9095051907141378	GRM8;ZNF804B;SLC39A12;CARTPT;COLQ;LRRC42
adult retina	6/301	0.44491302013954903	1.0	0	0	1.1230171728042675	0.9095051907141378	VIPR2;CACNB4;CDH10;ZNF219;TRIB1;GFRA2
nk cells	6/301	0.44491302013954903	1.0	0	0	1.1230171728042675	0.9095051907141378	ATAD2;METTL6;RBAK;SYNGR3;ZHX1;ATP9B
adult spinal cord	5/301	0.6210590893329666	1.0	0	0	0.9358476440035564	0.44577141890447386	ESCO1;C1QTNF8;CDH10;NIPA1;BTNL3
adult urinary bladder	5/301	0.6210590893329666	1.0	0	0	0.9358476440035564	0.44577141890447386	ZNF383;DPY19L2;SH2D3A;SLCO2B1;TYW1
cd8 cells	5/301	0.6210590893329666	1.0	0	0	0.9358476440035564	0.44577141890447386	TYW1;CAMTA2;SPATA20;ZHX1;CCDC51
adult frontal cortex	4/301	0.7845290146995528	1.0	0	0	0.7486781152028451	0.18168300784051222	GRIN2A;SHC3;PRR18;ADRA2B
adult ovary	4/301	0.7845290146995528	1.0	0	0	0.7486781152028451	0.18168300784051222	SLC44A5;BNC2;GNG4;RFESD
adult prostate	4/301	0.7845290146995528	1.0	0	0	0.7486781152028451	0.18168300784051222	SCUBE2;PLK3;GNG4;ATP9B
b cells	4/301	0.7845290146995528	1.0	0	0	0.7486781152028451	0.18168300784051222	BCAS4;ESCO1;CCDC81;CLK4
fetal heart	4/301	0.7845290146995528	1.0	0	0	0.7486781152028451	0.18168300784051222	FBXW12;CEP70;ELL2;CORIN
adult esophagus	3/301	0.9051366380776211	1.0	0	0	0.5615085864021337	0.055965204460718745	TOR3A;GNG4;KIAA1958
adult testis	3/301	0.9051366380776211	1.0	0	0	0.5615085864021337	0.055965204460718745	TPPP2;PTCH2;LYZL2
fetal brain	3/301	0.9051366380776211	1.0	0	0	0.5615085864021337	0.055965204460718745	GSX1;HTR3B;OR6S1
fetal testis	3/301	0.9051366380776211	1.0	0	0	0.5615085864021337	0.055965204460718745	GSX1;ADRA2B;ZNF410
placenta	3/301	0.9051366380776211	1.0	0	0	0.5615085864021337	0.055965204460718745	SH3TC2;TAT;IFNAR1
adult kidney	2/301	0.9714594841108021	1.0	0	0	0.37433905760142255	0.010839255252740891	NPHS2;ARID5A
fetal gut	2/301	0.9714594841108021	1.0	0	0	0.37433905760142255	0.010839255252740891	MARVELD3;ADRA2B
fetal liver	2/301	0.9714594841108021	1.0	0	0	0.37433905760142255	0.010839255252740891	RFESD;HTR3A
monocytes	2/301	0.9714594841108021	1.0	0	0	0.37433905760142255	0.010839255252740891	GGPS1;CCDC51
platelets	1/301	0.9956229079029714	0.9956229079029714	0	0	0.18716952880071128	8.210564990323217E-4	GGPS1
